survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,ibiz_rating,features_rating,security_rating,dept_org_unit,prod_type,age
New Account,1/13/2020,7,6,9,,,,,,,,CB ,Deposits,38
Digital Banking,1/9/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,74
New Account,1/14/2020,7,7,10,,,,,,,,CB ,Deposits,84
New Account,1/14/2020,7,7,10,,,,,,,,CB ,Deposits,19
New Account,1/15/2020,7,6,8,,,,,,,,CB ,Deposits,32
Mortgage Post Closing,1/15/2020,6,7,9,,,,,,,,,,52
Digital Banking,1/14/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,66
Digital Banking,1/14/2020,6,7,10,6,7,7,4,,7,7,CB ,Deposits,82
Digital Banking,1/14/2020,5,6,9,4,3,5,6,,3,5,CB ,Deposits,69
New Account,1/14/2020,7,7,10,,,,,,,,CB ,Deposits,60
New Account,1/14/2020,7,7,10,,,,,,,,CB ,Deposits,82
New Account,1/10/2020,7,6,9,,,,,,,,CB ,Deposits,79
Digital Banking,1/14/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,55
Digital Banking,1/14/2020,5,6,9,6,6,6,5,,6,6,CB ,Deposits,75
New Account,1/14/2020,6,7,10,,,,,,,,CB ,Deposits,28
Digital Banking,1/14/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,66
New Account,1/9/2020,7,7,10,,,,,,,,CB ,Deposits,61
New Account,1/9/2020,7,7,9,,,,,,,,CB ,Deposits,53
New Account,1/9/2020,7,7,10,,,,,,,,BB ,Deposits,
New Account,1/9/2020,7,7,10,,,,,,,,CB ,Deposits,79
Digital Banking,1/9/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,64
New Account,1/13/2020,7,7,10,,,,,,,,CB ,Deposits,91
New Account,1/9/2020,7,7,10,,,,,,,,CB ,Deposits,32
Digital Banking,1/6/2020,7,5,7,7,7,7,7,,7,7,CB ,Loans,63
New Account,1/14/2020,7,7,10,,,,,,,,CB ,Deposits,62
Wealth Management,1/15/2020,7,7,10,,,,,,,,WM,Investments,36
Retail Banking,1/7/2020,7,5,8,,,,,,,,CB ,Deposits,26
Digital Banking,1/7/2020,5,5,7,6,5,5,5,,6,6,CB ,Deposits,63
Retail Banking,1/7/2020,6,7,10,,,,,,,,PB ,Deposits,57
New Account,1/7/2020,7,6,9,,,,,,,,CB ,Deposits,79
Digital Banking,1/7/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,72
New Account,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,66
Loan,1/6/2020,7,7,10,,,,,,,,CB ,Loans,43
Retail Banking,1/7/2020,6,7,10,,,,,,,,CB ,Loans,74
Retail Banking,1/7/2020,7,7,10,,,,,,,,CB ,Deposits,41
Digital Banking,1/7/2020,6,7,10,6,6,6,6,,6,7,CB ,Deposits,37
Digital Banking,1/9/2020,5,6,8,6,6,6,6,,5,6,CB ,Deposits,65
Business Banking,1/8/2020,7,7,10,,,,,,,,BB ,Deposits,
Digital Banking,1/13/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,63
Business Banking,1/8/2020,7,7,10,,,,,,,,PB ,Deposits,
Digital Banking,1/15/2020,7,7,10,7,7,7,7,,7,7,CB ,Deposits,64
Retail Banking,1/10/2020,6,6,10,,,,,,,,CB ,Loans,59
Retail Banking,1/10/2020,1,7,5,,,,,,,,CB ,Deposits,67
Business Banking,1/10/2020,4,5,6,,,,,,,,BB ,Deposits,
Wealth Management,1/15/2020,6,7,9,,,,,,,,WM,Investments,70
Mortgage Post Application,1/15/2020,7,7,10,,,,,,,,,,55
Digital Banking,1/10/2020,7,7,10,7,7,7,7,,7,7,CB ,Loans,68
New Account,1/14/2020,7,7,10,,,,,,,,CB ,Deposits,35
Retail Banking,1/10/2020,7,7,9,,,,,,,,CB ,Deposits,50
Retail Banking,1/8/2020,7,7,10,,,,,,,,CB ,Deposits,73
Business Banking,1/21/2020,4,2,3,,,,,,,,BB ,Deposits,
Digital Banking,1/9/2020,6,6,5,7,7,6,6,,7,7,CB ,Deposits,33
Retail Banking,1/21/2020,7,7,10,,,,,,,,CB ,Deposits,57
Retail Banking,1/21/2020,7,7,10,,,,,,,,PB ,Deposits,83
Retail Banking,1/21/2020,7,7,10,,,,,,,,CB ,Deposits,70
Business Banking,1/8/2020,1,7,0,,,,,,,,PB ,Deposits,
Loan,1/21/2020,7,5,10,,,,,,,,CB ,Loans,72
New Account,1/8/2020,7,7,10,,,,,,,,CB ,Deposits,43
New Account,1/8/2020,6,5,8,,,,,,,,CB ,Deposits,88
New Account,1/8/2020,7,7,10,,,,,,,,CB ,Deposits,54
Wealth Management,1/21/2020,6,7,9,,,,,,,,WM,Investments,78
Closed Account,1/21/2020,6,6,10,,,,,,,,CB ,Loans,51
New Account,1/21/2020,6,6,9,,,,,,,,CB ,Deposits,18
Retail Banking,1/16/2020,7,7,10,,,,,,,,CB ,Deposits,73
Digital Banking,1/21/2020,6,6,9,7,7,6,7,,7,6,CB ,Deposits,60
Loan,1/23/2020,7,7,10,,,,,,,,CB ,Loans,69
Loan,1/23/2020,7,7,10,,,,,,,,CB ,Loans,39
Business Banking,1/16/2020,6,6,2,,,,,,,,PB ,Deposits,
Retail Banking,1/16/2020,7,7,10,,,,,,,,CB ,Deposits,66
Mortgage Post Application,1/16/2020,7,7,10,,,,,,,,,,37
Mortgage Post Application,1/16/2020,7,7,10,,,,,,,,,,25
Retail Banking,1/16/2020,7,7,10,,,,,,,,CB ,Deposits,68
Retail Banking,1/16/2020,6,5,9,,,,,,,,CB ,Deposits,57
Mortgage Post Application,1/16/2020,7,7,10,,,,,,,,,,60
Loan,1/17/2020,7,7,10,,,,,,,,CB ,Loans,37
Retail Banking,1/21/2020,7,7,10,,,,,,,,PB ,Loans,61
Digital Banking,1/9/2020,7,7,10,7,5,7,7,,7,7,CB ,Deposits,68
Retail Banking,1/10/2020,7,6,9,,,,,,,,CB ,Deposits,56
Digital Banking,1/13/2020,4,5,5,2,2,4,2,,4,6,CB ,Deposits,41
Digital Banking,1/13/2020,6,6,8,7,4,6,6,,5,6,CB ,Deposits,44
Digital Banking,1/13/2020,6,5,6,6,5,6,6,,6,6,CB ,Deposits,31
Digital Banking,1/13/2020,6,6,8,5,5,5,6,,6,6,CB ,Deposits,67
New Account,1/24/2020,7,7,8,,,,,,,,CB ,Deposits,52
Closed Account,1/21/2020,7,7,,,,,,,,,CB ,Deposits,100
Closed Account,1/21/2020,6,7,0,,,,,,,,CB ,Deposits,45
Closed Account,1/21/2020,7,7,10,,,,,,,,CB ,Deposits,39
Retail Banking,1/21/2020,7,6,9,,,,,,,,CB ,Deposits,42
Closed Account,1/21/2020,7,7,10,,,,,,,,CB ,Loans,50
Loan,1/6/2020,7,7,10,,,,,,,,CB ,Loans,48
Retail Banking,1/21/2020,7,7,9,,,,,,,,CB ,Deposits,77
Mortgage Post Closing,1/23/2020,5,7,10,,,,,,,,,,48
Mortgage Post Closing,1/23/2020,6,7,10,,,,,,,,,,35
