survey_name,interview_date,satis_score,ease_score,likely_recomm,login_rating,nav_rating,web_rating,func_rating,features_rating,security_rating,dept_org_unit,prod_type,age
Digital Banking,1/9/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,74
Digital Banking,1/14/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,66
Digital Banking,1/14/2020,6,7,10,6,7,7,4,7,7,CB ,Deposits,82
Digital Banking,1/14/2020,5,6,9,4,3,5,6,3,5,CB ,Deposits,69
Digital Banking,1/14/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,55
Digital Banking,1/14/2020,5,6,9,6,6,6,5,6,6,CB ,Deposits,75
Digital Banking,1/14/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,66
Digital Banking,1/9/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,64
Digital Banking,1/6/2020,7,5,7,7,7,7,7,7,7,CB ,Loans,63
Digital Banking,1/7/2020,5,5,7,6,5,5,5,6,6,CB ,Deposits,63
Digital Banking,1/7/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,72
Digital Banking,1/7/2020,6,7,10,6,6,6,6,6,7,CB ,Deposits,37
Digital Banking,1/9/2020,5,6,8,6,6,6,6,5,6,CB ,Deposits,65
Digital Banking,1/13/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,63
Digital Banking,1/15/2020,7,7,10,7,7,7,7,7,7,CB ,Deposits,64
Digital Banking,1/10/2020,7,7,10,7,7,7,7,7,7,CB ,Loans,68
Digital Banking,1/9/2020,6,6,5,7,7,6,6,7,7,CB ,Deposits,33
Digital Banking,1/21/2020,6,6,9,7,7,6,7,7,6,CB ,Deposits,60
Digital Banking,1/9/2020,7,7,10,7,5,7,7,7,7,CB ,Deposits,68
Digital Banking,1/13/2020,4,5,5,2,2,4,2,4,6,CB ,Deposits,41
Digital Banking,1/13/2020,6,6,8,7,4,6,6,5,6,CB ,Deposits,44
Digital Banking,1/13/2020,6,5,6,6,5,6,6,6,6,CB ,Deposits,31
Digital Banking,1/13/2020,6,6,8,5,5,5,6,6,6,CB ,Deposits,67
