survey_name,month,interview_date,satis_rating,avg_sat_rating,ease_rating,recommend_rating,login_rating,navig_rating,web_rating,function_rating,feature_rating,security_rating,dept_org_unit,product,zipcode,age,
Digital Banking,2020M01,1/9/2020,7,6.049011858,7,10,7,7,7,7,7,7,CB ,Deposits,78154,74,
Digital Banking,2020M01,1/14/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78886,66,
Digital Banking,2020M01,1/14/2020,6,,7,10,6,7,7,4,7,7,CB ,Deposits,78028,82,
Digital Banking,2020M01,1/14/2020,5,,6,9,4,3,5,6,3,5,CB ,Deposits,78270,69,
Digital Banking,2020M01,1/14/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78861,55,
Digital Banking,2020M01,1/14/2020,5,,6,9,6,6,6,5,6,6,CB ,Deposits,78015,75,
Digital Banking,2020M01,1/14/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78028,66,
Digital Banking,2020M01,1/9/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,33102,64,
Digital Banking,2020M01,1/6/2020,7,,5,7,7,7,7,7,7,7,CB ,Loans,78140,63,
Digital Banking,2020M01,1/7/2020,5,,5,7,6,5,5,5,6,6,CB ,Deposits,78204,63,
Digital Banking,2020M01,1/7/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78217,72,
Digital Banking,2020M01,1/7/2020,6,,7,10,6,6,6,6,6,7,CB ,Deposits,78254,37,
Digital Banking,2020M01,1/9/2020,5,,6,8,6,6,6,6,5,6,CB ,Deposits,78005,65,
Digital Banking,2020M01,1/13/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78945,63,
Digital Banking,2020M01,1/15/2020,7,,7,10,7,7,7,7,7,7,CB ,Deposits,78154,64,
Digital Banking,2020M01,1/10/2020,7,,7,10,7,7,7,7,7,7,CB ,Loans,78209,68,
Digital Banking,2020M01,1/9/2020,6,,6,5,7,7,6,6,7,7,CB ,Deposits,78148,33,
Digital Banking,2020M01,1/21/2020,6,,6,9,7,7,6,7,7,6,CB ,Deposits,78251,60,
Digital Banking,2020M01,1/9/2020,7,,7,10,7,5,7,7,7,7,CB ,Deposits,78617,68,
Digital Banking,2020M01,1/13/2020,4,,5,5,2,2,4,2,4,6,CB ,Deposits,78247,41,
